Original_Color_Name,User_Color_Name,OD,ppm,Unnamed:_4,Vol_taken(ml),Nix_Device,Note,Date_Saved,Illuminant,Observer,Measurement_Mode,L,a,b,L.1,c,h,X,Y,Z,sRGB_R,sRGB_G,sRGB_B
nan,0.2,0.212,0.1875456,nan,,nan,nan,nan,nan,2.0,nan,29.0568281,-1.94268387,-1.1475386,29.0568281,2.25629463,210.570243,0.054825888,0.058601385,0.050533291,65.0,69.0,70.0
nan,0.4,0.356,0.4105728,nan,,nan,nan,nan,nan,2.0,nan,26.7059538,-2.31030112,-2.5872293,26.7059538,3.46860875,228.236312,0.046324619,0.049898939,0.045672027,58.0,64.0,67.0
nan,0.6,0.49,0.618112,nan,,nan,nan,nan,nan,2.0,nan,24.8696071,-2.45510031,-3.4857548,24.8696071,4.26356706,234.842049,0.040431335,0.043734828,0.041715697,53.0,60.0,64.0
nan,0.8,0.637,0.8457856,nan,,nan,nan,nan,nan,2.0,nan,23.0998436,-2.60844088,-4.48301644,23.0998436,5.18665598,239.807036,0.035237451,0.038295795,0.038335265,48.0,56.0,62.0
nan,1.0,0.753,1.0254464,nan,,nan,nan,nan,nan,2.0,nan,21.7350443,-2.56673646,-4.90302985,21.7350443,5.5342423,242.36794,0.031645538,0.034423944,0.035325488,45.0,53.0,59.0
nan,1.4,0.975,1.36928,nan,,nan,nan,nan,nan,2.0,nan,19.2952793,-2.57892795,-5.91766557,19.2952793,6.45520218,246.452352,0.025803389,0.02816929,0.030707874,39.0,48.0,55.0
nan,1.6,1.11,1.578368,nan,,nan,nan,nan,nan,2.0,nan,17.8067175,-2.79430982,-6.43408562,17.8067175,7.01467213,246.524795,0.022520828,0.024753411,0.027965386,35.0,45.0,53.0
nan,,0.133,0.0651904,nan,6.0,nan,nan,nan,nan,2.0,nan,30.6314805,-1.53895105,0.248858019,30.6314805,1.55894216,170.814427,0.061210481,0.064962637,0.053111563,70.0,73.0,72.0
nan,,0.368,0.4291584,nan,6.0,nan,nan,nan,nan,2.0,nan,26.2028077,-2.89131226,-2.85978333,26.2028077,4.0666998,224.685893,0.044253888,0.048155962,0.044610842,56.0,63.0,66.0
nan,,0.453,0.5608064,nan,6.0,nan,nan,nan,nan,2.0,nan,25.3446185,-2.57551195,-2.96600188,25.3446185,3.92815847,229.030758,0.041791915,0.045277558,0.042224142,54.0,61.0,64.0
